sno,date,street,postal code,city,extra
278,11/04/2019,KRASOWA 3A,97-438,RUSIEC,
281,11/04/2019,UL ZACHODNIA 38,91-063,"ŁÓDŹ",
282,11/04/2019,Adres w Uwagach,97-561,ŁADZICE,
283,11/04/2019,"ŻWIRKI I WIGURY 1",98-200,SIERADZ,
284,11/04/2019,Piastowska 24a,97-500,Radomsko,
285,11/04/2019,Rzemieślnicza 35 CH Ptak PW33,95-030,Rzgów,
286,11/04/2019,UL.HOŻA 1,95-100,ZGIERZ,
287,15/04/2019,Chopina 5,95-100,Zgierz,
288,15/04/2019,SZYBOWNIKÓW 22,64-100,LESZNO,
289,16/04/2019,UL. SADOWA 1,98-200,SIERADZ,
290,16/04/2019,"pl. Sienkiewicza 2, Turek",,Turek,
291,17/04/2019,JANÓWEK DURANOWSKI 17B,96-500,SOCHACZEW,
292,17/04/2019,"ul. Jagiellońska 6/5E, Skierniewice",,Skierniewice,
293,18/04/2019,KOŚCIUSZKI 22,90-419,ŁÓDŹ,
294,18/04/2019,WOJSKA POLSKIEGO 8,98-300,WIELUĐ,
295,18/04/2019,3 Maja 7,98-300,Wielun,
296,18/04/2019,"ul. Kościuszki 17, Bełchatów",,Bełchatów,
297,19/04/2019,UL. MASŁOWSKIEGO 2A,63-700,KROTOSZYN,
298,19/04/2019,SIKORSKIEGO 9 LOK 6,99-300,KUTNO,
299,19/04/2019,SULISZEWICE 84,98-235,BŁASZKI,
300,23/04/2019,ul. Poznańska 56,63-800,Gostyń,
301,24/04/2019,JANA PAWŁA II 53,98-200,SIERADZ,
302,24/04/2019,Rzemieślnicza 35 HALA A-BIS,95-030,Łódź,
303,24/04/2019,POŁUDNIOWA 57,97-500,KIETLIN,
304,24/04/2019,NIEDOŚPIELIN 70,WIELGOMŁYNY,97-525,
306,24/04/2019,"ul. Wojska Polskiego 58, Bełchatów",,Bełchatów,
307,24/04/2019,"ŻWIRKI I WIGURY 1",98-200,SIERADZ,
308,24/04/2019,MIŁA 5,97-500,RADOMSKO,
309,25/04/2019,ul. STEMPLEW 57,99-140,ŚWINICE WARCKIE,
